,Zone,Exact position,Action 1,Outcome 1,Action 2,Outcome 2,Reward,d_predicted,d_test,Exploration rate
165,A,1.5581544714000841,3,-1.0,1,1.5581544714000841,0.0001687038893578574,2.5938878059387207,3.2768280647110517,0.009999999999999181
166,A,1.279589654894404,3,-1.0,1,1.279589654894404,0.0011718397727236152,2.4961631298065186,2.108779267719723,0.003999999999999181
167,C,4.729943376148378,3,4.729943376148378,2,-1.0,0.0,2.3497395515441895,10.278506245011183,-0.002000000000000819
168,A,1.5286355411688206,3,-1.0,1,1.5286355411688206,0.0,2.264958143234253,0.6015362575972338,-0.002000000000000819
169,A,0.9630268874006771,3,-1.0,1,0.9630268874006771,0.0,2.3911166191101074,1.2286533307896474,-0.002000000000000819
170,C,4.964675216044578,3,4.964675216044578,2,-1.0,0.9948105216026306,2.158425807952881,2.16949139773877,-0.002000000000000819
171,A,1.3771826854701976,3,-1.0,2,-1.0,0.0,2.095083236694336,1.2057966046454802,-0.002000000000000819
172,D,7.468436867641558,3,-1.0,2,-1.0,0.0,2.1890368461608887,8.91869892692214,-0.002000000000000819
173,A,1.3061784945978876,3,-1.0,2,-1.0,0.6648092865943909,2.3443081378936768,2.4552369460855505,-0.002000000000000819
174,A,0.8666454646884998,3,-1.0,2,-1.0,7.473327734430768e-09,2.4049222469329834,1.8416171758677577,-0.002000000000000819
175,C,5.43435831831698,3,5.43435831831698,2,-1.0,1.401298464324817e-45,2.588895797729492,9.249934237570285,-0.002000000000000819
176,B,2.739159027272953,3,-1.0,2,2.739159027272953,2.5695595093896938e-20,2.975522994995117,5.666695399725766,-0.002000000000000819
177,A,1.2593031479134527,3,-1.0,2,-1.0,0.00012655115278903395,2.35652756690979,1.9445934666493507,-0.002000000000000819
178,A,0.9780009159118616,3,-1.0,2,-1.0,0.0,2.1964950561523438,0.7721371082914174,-0.002000000000000819
179,B,3.753946392291756,3,-1.0,2,3.753946392291756,0.0,2.9869496822357178,1.000953267666998,-0.002000000000000819
180,B,3.1166042763503707,3,-1.0,2,3.1166042763503707,3.834711172877452e-21,3.115321636199951,6.047060802121431,-0.002000000000000819
181,A,1.4118892496309432,3,-1.0,2,-1.0,0.0,2.046971321105957,0.3923612077754553,-0.002000000000000819
182,A,1.1645343621657205,3,-1.0,2,-1.0,0.0,2.209048271179199,0.7583554076342547,-0.002000000000000819
183,B,3.9867247556361365,3,-1.0,2,3.9867247556361365,0.005742291919887066,3.3282954692840576,3.9651934960096957,-0.002000000000000819
184,A,1.993591834631268,3,-1.0,1,1.993591834631268,4.023111704887228e-11,2.897970199584961,4.430813326461905,-0.002000000000000819
185,A,1.1743556743669756,3,-1.0,1,1.1743556743669756,0.0019460226176306605,2.710082530975342,2.3031934249653387,-0.002000000000000819
186,D,7.60835786636528,3,-1.0,1,-1.0,0.0,2.439028263092041,13.11592886581254,-0.002000000000000819
187,B,2.9839592338261576,3,-1.0,1,-1.0,0.38184913992881775,2.254927158355713,2.1086294545687925,-0.002000000000000819
188,D,6.174577576731214,3,-1.0,1,-1.0,5.511796639276848e-29,2.307352066040039,5.370758733555413,-0.002000000000000819
189,A,0.9283224398918195,3,-1.0,1,0.9283224398918195,5.352960133720801e-43,2.649853467941284,1.56092246218022,-0.002000000000000819
190,C,4.037697250934596,3,4.037697250934596,0,5.0,0.0,4.249927043914795,2.0925924502901028,-0.002000000000000819
191,A,1.690491636966402,3,-1.0,1,1.690491636966402,0.828207790851593,2.81821608543396,2.7342753843565553,-0.002000000000000819
192,C,4.275215673846988,3,4.275215673846988,0,5.0,5.045149309445846e-15,4.590298652648926,7.7240227702030495,-0.002000000000000819
193,A,1.136759364995189,3,-1.0,1,1.136759364995189,6.989278761401654e-31,2.730192184448242,1.7179460017501056,-0.002000000000000819
194,D,7.420268679343257,3,-1.0,1,-1.0,0.0,2.5681471824645996,12.802116972725303,-0.002000000000000819
195,A,1.6174855062068523,3,-1.0,1,1.6174855062068523,8.540244463137888e-32,2.762296199798584,1.7285183425850237,-0.002000000000000819
196,A,1.8248842912262284,3,-1.0,1,1.8248842912262284,0.8520334959030151,2.935206413269043,2.854438055572085,-0.002000000000000819
197,A,1.522548622147031,3,-1.0,1,1.522548622147031,0.0,2.5322089195251465,0.4675228390522386,-0.002000000000000819
198,A,0.9759880483358567,3,-1.0,1,0.9759880483358567,6.562014820410411e-12,2.8915297985076904,2.1279780607116017,-0.002000000000000819
199,A,1.150014855484268,3,-1.0,1,1.150014855484268,0.0,2.534980535507202,0.5638744224978172,-0.002000000000000819
