,M,L,Action,Outcome,Reward,Predicted T,Empirical T,q0,q1,Exploration rate
2208,0.7922276834631681,0.9746911263081296,1,0.9746911263081296,2.486729755446504e-08,1.3952218294143677,1.9815285616869123,134.08554077148438,330.63800048828125,0.7129600000000806
2209,0.6250426673776908,0.36842903121997417,1,0.36842903121997417,0.7826721668243408,1.260913610458374,1.2182705687911668,134.08554077148438,331.4206848144531,0.7128300000000807
2210,0.6321024503879402,0.960094649917227,1,0.960094649917227,3.66360618500039e-05,1.5221915245056152,1.966635413571212,134.08554077148438,331.42071533203125,0.7127000000000807
2211,0.3959436370906162,0.6517365936912058,1,0.6517365936912058,0.2600414752960205,1.4873565435409546,1.6203278017363898,134.08554077148438,331.6807556152344,0.7125700000000807
2212,0.17966305078370415,0.8600365595535534,1,0.8600365595535534,0.04404700919985771,1.628764033317566,1.8613381858625262,134.08554077148438,331.72479248046875,0.7124400000000808
2213,0.20112817824492826,0.2053431139429957,1,0.2053431139429957,1.9488072814032706e-22,1.3642160892486572,0.9095087934424024,134.08554077148438,331.72479248046875,0.7123100000000808
2214,0.9680494607078057,0.20563579276812016,0,0.9680494607078057,0.0,1.8111079931259155,0.9101567313617793,134.08554077148438,331.72479248046875,0.7121800000000809
2215,0.3061099627530718,0.8329988944011278,0,0.3061099627530718,0.0017401116201654077,1.5053404569625854,1.8318463479683205,134.0872802734375,331.72479248046875,0.7120500000000809
2216,0.775486157606198,0.30766988160989805,0,0.775486157606198,3.2877696932792763e-28,1.739524245262146,1.11329260096121,134.0872802734375,331.72479248046875,0.7119200000000809
2217,0.7342649763477311,0.8492187638702017,1,0.8492187638702017,0.6331687569618225,1.7611794471740723,1.8495949086970263,134.0872802734375,332.35797119140625,0.711790000000081
2218,0.7536170256633125,0.8635114717485393,0,0.7536170256633125,0.27691829204559326,1.7156522274017334,1.8650946927824108,134.36419677734375,332.35797119140625,0.711660000000081
2219,0.5274097830014329,0.8928313423991285,1,0.8928313423991285,0.4355826675891876,1.7742424011230469,1.8964943110879513,134.36419677734375,332.7935485839844,0.711530000000081
2220,0.19183797958650395,0.7684833760121763,1,0.7684833760121763,0.9388944506645203,1.7282383441925049,1.759478924493339,134.36419677734375,333.7324523925781,0.7114000000000811
2221,0.2604709476756111,0.8687723150266714,1,0.8687723150266714,0.5925024747848511,1.775065302848816,1.8707675019902357,134.36419677734375,334.324951171875,0.7112700000000811
2222,0.7338919561889927,0.3884349228530761,0,0.7338919561889927,1.58388981184171e-13,1.7311166524887085,1.2509097137238905,134.36419677734375,334.324951171875,0.7111400000000812
2223,0.8488087998502716,0.2480892413819152,1,0.2480892413819152,3.664009448000707e-21,1.4846135377883911,0.9997025411888972,134.36419677734375,334.324951171875,0.7110100000000812
2224,0.41836186321998037,0.19731126451156766,1,0.19731126451156766,2.075539944049159e-29,1.4038705825805664,0.8915439771011046,134.36419677734375,334.324951171875,0.7108800000000812
2225,0.5993029196331043,0.7968677102852523,1,0.7968677102852523,0.49880659580230713,1.6860193014144897,1.7916779344009672,134.36419677734375,334.8237609863281,0.7107500000000813
2226,0.3591449317437394,0.12060798825029541,0,0.3591449317437394,0.0,1.480936884880066,0.697035451808747,134.36419677734375,334.8237609863281,0.7106200000000813
2227,0.9255857396155153,0.7761551941527333,1,0.7761551941527333,0.16000081598758698,1.5989785194396973,1.7682396088602117,134.36419677734375,334.9837646484375,0.7104900000000813
2228,0.7619439200874104,0.16020753069283045,1,0.16020753069283045,1.0829738919939244e-17,1.1584011316299438,0.8033564664894758,134.36419677734375,334.9837646484375,0.7103600000000814
